PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
J02.9|H82|acute pharyngitis|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|9
J03|H82|acute tonsilitis|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|10
J06|H82|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|274
J06.9|H82|acute upper respiratory infection|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|12
J20|H82|acute bronchitis|other acute lower respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
J30.4|H82|allergic rhinitis|other diseases of upper respiratory tract|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|9
J31|H82|chronic rhinitis|other diseases of upper respiratory tract|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|13
K21.0|H82|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|16
K21.9|H82|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|32
K29|H82|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|24
K29.0|H82|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|6
K29.1|H82|other acute gastritis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
K29.6|H82|other gastritis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
K29.7|H82|gastritis|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|127
K30|H82|dyspepsia|diseases of oesophagus, stomach and duodenum|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|367
M53.0|H82|cervicocranial syndrome|dorsopathies|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|10
M54.2|H82|cervicalgia|dorsopathies|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|15
M54.5|H82|low back pain (nyeri punggung)|dorsopathies|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|16
M79.1|H82|myalgia (nyeri otot|soft tissue disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|21
M79.19|H82|myalgia|soft tissue disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|11
N39.0|H82|urinary tract infection- site not specified|other diseases of urinary system|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
R07.4|H82|chest pain|symptoms and signs involving the circulatory and respiratory systems|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
R10|H82|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|6
R10.0|H82|acute abdomen|symptoms and signs involving the digestive system and abdomen|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|6
R10.4|H82|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|6
R11|H82|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|26
R42|H82|dizziness and giddiness|symptoms and signs involving cognition, perception, emotional state and behaviour|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|15
R50.9|H82|fever|general symptoms and signs|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|131
R51|H82|headache ( cephalgia)|general symptoms and signs|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|200
R55|H82|syncope and collapse|general symptoms and signs|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
S00|H82|injuries to the head (contusion|injuries to the head|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|11
S09|H82|other and unspecified injuries of head|injuries to the head|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
K30|H81.4|dyspepsia|diseases of oesophagus, stomach and duodenum|vertigo of central origin|diseases of inner ear|11
A01.0|B34|typhoid fever |intestinal infectious diseases|viral infection of unspecified sites|other viral diseases|98
A09|B34|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|viral infection of unspecified sites|other viral diseases|138
A49|B34|bacterial infection of unspecified site|other bacterial diseases|viral infection of unspecified sites|other viral diseases|16
A90|B34|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|viral infection of unspecified sites|other viral diseases|48
A91|B34|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|viral infection of unspecified sites|other viral diseases|52
B01|B34|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|viral infection of unspecified sites|other viral diseases|10
B08.4|B34|enteroviral vesicular stomatitis with exanthem (hand|viral infections characterized by skin and mucous membrane lesions|viral infection of unspecified sites|other viral diseases|6
B34|B34|viral infection of unspecified sites|other viral diseases|viral infection of unspecified sites|other viral diseases|9
B34.9|B34|viral infection, unspecified|other viral diseases|viral infection of unspecified sites|other viral diseases|9
B86|B34|scabies|pediculosis, acariasis and other infestations|viral infection of unspecified sites|other viral diseases|7
H10|B34|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|viral infection of unspecified sites|other viral diseases|10
J00|B34|acute nasopharyngitis (common cold)|acute upper respiratory infections|viral infection of unspecified sites|other viral diseases|31
J02|B34|acute pharyngitis|acute upper respiratory infections|viral infection of unspecified sites|other viral diseases|198
J03|B34|acute tonsilitis|acute upper respiratory infections|viral infection of unspecified sites|other viral diseases|32
J06|B34|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|viral infection of unspecified sites|other viral diseases|395
J06.9|B34|acute upper respiratory infection|acute upper respiratory infections|viral infection of unspecified sites|other viral diseases|13
J18|B34|pneumonia|influenza and pneumonia|viral infection of unspecified sites|other viral diseases|8
J18.0|B34|bronchopneumonia |influenza and pneumonia|viral infection of unspecified sites|other viral diseases|21
J20|B34|acute bronchitis|other acute lower respiratory infections|viral infection of unspecified sites|other viral diseases|34
J30|B34|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|viral infection of unspecified sites|other viral diseases|7
J30.4|B34|allergic rhinitis|other diseases of upper respiratory tract|viral infection of unspecified sites|other viral diseases|6
J31|B34|chronic rhinitis|other diseases of upper respiratory tract|viral infection of unspecified sites|other viral diseases|17
K12|B34|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|viral infection of unspecified sites|other viral diseases|23
K29|B34|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|viral infection of unspecified sites|other viral diseases|7
K29.7|B34|gastritis|diseases of oesophagus, stomach and duodenum|viral infection of unspecified sites|other viral diseases|16
K30|B34|dyspepsia|diseases of oesophagus, stomach and duodenum|viral infection of unspecified sites|other viral diseases|87
L04|B34|acute lymphadenitis|infections of the skin and subcutaneous tissue|viral infection of unspecified sites|other viral diseases|6
L20|B34|atopic dermatitis|dermatitis and eczema|viral infection of unspecified sites|other viral diseases|14
L23|B34|allergic contact dermatitis|dermatitis and eczema|viral infection of unspecified sites|other viral diseases|11
L30|B34|other dermatitis|dermatitis and eczema|viral infection of unspecified sites|other viral diseases|10
L50|B34|urticaria/pruritus (gatal-gatal)|urticaria and erythema|viral infection of unspecified sites|other viral diseases|8
L50.9|B34|urticaria|urticaria and erythema|viral infection of unspecified sites|other viral diseases|6
M79.1|B34|myalgia (nyeri otot|soft tissue disorders|viral infection of unspecified sites|other viral diseases|8
N39.0|B34|urinary tract infection- site not specified|other diseases of urinary system|viral infection of unspecified sites|other viral diseases|17
R05|B34|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|viral infection of unspecified sites|other viral diseases|14
R10.0|B34|acute abdomen|symptoms and signs involving the digestive system and abdomen|viral infection of unspecified sites|other viral diseases|8
R11|B34|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|viral infection of unspecified sites|other viral diseases|42
R50|B34|fever of unknown origin|general symptoms and signs|viral infection of unspecified sites|other viral diseases|41
R50.9|B34|fever|general symptoms and signs|viral infection of unspecified sites|other viral diseases|1,317
R51|B34|headache ( cephalgia)|general symptoms and signs|viral infection of unspecified sites|other viral diseases|18
R56.0|B34|febrile convulsions|general symptoms and signs|viral infection of unspecified sites|other viral diseases|34
A01.0|B34.9|typhoid fever |intestinal infectious diseases|viral infection, unspecified|other viral diseases|78
A09|B34.9|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|viral infection, unspecified|other viral diseases|101
A49|B34.9|bacterial infection of unspecified site|other bacterial diseases|viral infection, unspecified|other viral diseases|10
A90|B34.9|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|viral infection, unspecified|other viral diseases|47
A91|B34.9|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|viral infection, unspecified|other viral diseases|40
B08.4|B34.9|enteroviral vesicular stomatitis with exanthem (hand|viral infections characterized by skin and mucous membrane lesions|viral infection, unspecified|other viral diseases|7
B86|B34.9|scabies|pediculosis, acariasis and other infestations|viral infection, unspecified|other viral diseases|10
